"Type","Ven Nbr","Vendor Address                               ","Remit to                                     ","Contact Info                                 ","Terms","Last PO","Last Payment"
"","","Independence, MO 64055                       ","                                             ","                                             ","","",""
"","500320","ABC SIGN INC                                 ","SAME                                         ","Ph : 307-856-4966                            ","NET 30 DAYS","",""
"","","831 MINIWEB AVE                              ","                                             ","                                             ","","",""
"","","RIVERTON, WY 82501                           ","                                             ","                                             ","","",""
"","500340","ABC Sign Corporation                         ","SAME                                         ","Greg DeSanty                                 ","NET 30 DAYS","4048","Ck #500340"
"","","125 Front Street                             ","                                             ","desanty@aol.com                              ","","9/8/09","9/28/09"
"","","Bridgeport, CT 06606                         ","                                             ","Ph : (203) 335-3403                          ","","","2,885.00"
"","","                                             ","                                             ","Fax: (203) 333-5092                          ","","",""
"","500360","ABC SIGN PRODUCTS                            ","SAME                                         ","BOB BLANCO                                   ","NET 30 DAYS","25230","Ck #500360"
"","","2028 SE FRONTAGE ROAD                        ","                                             ","renee@abcsignproducts.com>                   ","","7/8/25","7/15/25"
"","","FORT COLLINS, CO 80525                       ","                                             ","Ph : 800-248-9889                            ","","","1,394.93"
"","","                                             ","                                             ","Fax: renee@abcsignproducts.com>              ","","",""
"","500380","A-C CONTRACTORS INC.                         ","SAME                                         ","Ph : (515) 244-0606                          ","NET 30 DAYS","",""
"","","1495 KEO WAY                                 ","                                             ","Fax: 515-244-0735                            ","","",""
"","","DES MOINES, IA 50314                         ","                                             ","                                             ","","",""
"","500400","Access Systems                               ","SAME                                         ","Marion Lehman                                ","NET 30 DAYS","",""
"","","803 Main                                     ","                                             ","marion@accesssystems.net                     ","","",""
"","","Adel, IA 50003                               ","                                             ","Ph : (515) 993-3193                          ","","",""
"","","                                             ","                                             ","Fax: (515) 993-2044                          ","","",""
"","500420","Accident Fund Ins Co of Americ               ","SAME                                         ","                                             ","NET 30 DAYS","",""
"","","PO Box 77000 Dept 77125                      ","                                             ","                                             ","","",""
"","","Detroit, MI 48277-0125                       ","                                             ","                                             ","","",""
"","500440","ACE NEON SIGNS & SERVICE INC.                ","SAME                                         ","Ph : (605) 336-7031                          ","NET 30 DAYS","",""
"","","403 N. KIWANIS AVENUE                        ","                                             ","Fax: (605) 336-7054                          ","","",""
"","","SIOUX FALLS, SD 57104                        ","                                             ","                                             ","","",""
"","500460","ACE SIGN CO.                                 ","SAME                                         ","DENNIS BRINGUET                              ","NET 30 DAYS","8772","Ck #500460"
"","","2540 S. 1ST ST.                              ","                                             ","Dennis@acesignco.om                          ","","7/5/13","7/8/13"
"","","SPRINGFIELD, IL 62702                        ","                                             ","Ph : (217) 522-8417                          ","","","620.94"
"","","                                             ","                                             ","Fax: (217) 522-6842                          ","","",""
"","500480","ACE SIGN CO. INC.                            ","ACE SIGN CO. INC.                            ","PHIL SMITH JR.                               ","NET 30 DAYS","4923","Ck #500480"
"","","419 SUMMIT AVENUE                            ","P.O. BOX 66                                  ","Acesigninc@aol.com                           ","","7/1/10","8/10/10"
"","","PERTH AMBOY, NJ 08861                        ","PERTH AMBOY, NJ 08861                        ","Ph : 732-826-3858                            ","","","655.00"
"","","                                             ","                                             ","Fax: 732-826-2612                            ","","",""
"","500500","ACE SIGN DISPLAYS/ DBA COMMERCIAL SIGN & DESI","SAME                                         ","LEE                                          ","NET 30 DAYS","11710","Ck #500500"
"","","924 B STREET                                 ","                                             ","Ph : (800) 889-4555                          ","","3/18/15","6/8/15"
"","","P.O. BOX 1593                                ","                                             ","Fax: (402) 494-1490                          ","","","150.00"
"","","SIOUX CITY, IA 51102                         ","                                             ","                                             ","","",""
"","500520","Ace Signs - Albert Lea MN                    ","SAME                                         ","Warren Nelson                                ","NET 30 DAYS","",""
"","","Route 3 Box1                                 ","                                             ","Ph : (800) 658-7158                          ","","",""
"","","Albert Lea, MN 56007                         ","                                             ","Fax: (507) 377-7819                          ","","",""
"","500540","Ace Signs - Willmar MN                       ","SAME                                         ","Dick Bistrip                                 ","NET 30 DAYS","",""
"","","300 W. 14th St                               ","                                             ","Ph : (320) 231-2524                          ","","",""
"","","PO Box 147                                   ","                                             ","Fax: (320) 231-2525                          ","","",""
"","","Willmar, MN 56007                            ","                                             ","                                             ","","",""
"","500560","Acken Signs                                  ","SAME                                         ","William Acken                                ","NET 30 DAYS","",""
"","","100 Pine Street                              ","                                             ","dc-acken@netscope.net                        ","","",""
"","","Bluefield, WV 24701                          ","                                             ","Ph : (540) 322-2770                          ","","",""
"","","                                             ","                                             ","Fax: (540) 327-5397                          ","","",""
"","500580","ACME Electric                                ","SAME                                         ","John Bredemeier                              ","NET 30 DAYS","",""
"","","1603 12th Avenue North                       ","                                             ","jwb@acmetoolcrib.com                         ","","10/22/14",""
"","","Grand Forks, ND 58203                        ","                                             ","Ph : 701-746-2854                            ","","",""
"","500600","ACME SIGN AND PLASTICS CO.                   ","SAME                                         ","DAVID MCMEEKAN                               ","NET 30 DAYS","12400","Ck #500600"
"","","1225 WALNUT STREET                           ","                                             ","acmesign@camalott.com                        ","","9/2/15","9/23/15"
"","","ABILENE, TX 79601                            ","                                             ","Ph : (325) 677-9469                          ","","","808.80"
"","","                                             ","                                             ","Fax: (325) 677-3926                          ","","",""
"","500620","ACOLITE & CLAUDE UNITED SIGN                 ","SAME                                         ","PAUL YESBECK                                 ","NET 30 DAYS","",""
"","","540 W 83RD ST                                ","                                             ","Paul@acusigns.com                            ","","",""
"","","MIAMI, FL 33014                              ","                                             ","Ph : (305) 362-3333                          ","","",""
"","","                                             ","                                             ","Fax: (305) 819-7777                          ","","",""
"","500640","Action Outdoor/Faith Signs & A               ","SAME                                         ","Terry Hicks                                  ","NET 30 DAYS","",""
"","","1392 Water Gap Road                          ","                                             ","terrylhicks@setel.com                        ","","",""
"","","Prestonsburg, KY 41653                       ","                                             ","Ph : (888) 867-1887 x303                     ","","",""
"","","                                             ","                                             ","Fax: 606-874-6273                            ","","",""
"","500660","Action Scale                                 ","SAME                                         ","Ph : 419-478-5756                            ","NET 30 DAYS","",""
"","","444 Laskey Rd.                               ","                                             ","                                             ","","",""
"","","Toledo, OH 43612                             ","                                             ","                                             ","","",""
"","500680","Action Sign                                  ","SAME                                         ","Ph : 319-232-2400                            ","NET 30 DAYS","",""
"","","1715 Jefferson St                            ","                                             ","                                             ","","",""
"","","Waterloo, IA 50702                           ","                                             ","                                             ","","",""
"","500700","Actown Electrocoil Inc                       ","SAME                                         ","Dave Noshay                                  ","NET 30 DAYS","",""
"","","2414 Highview Street                         ","                                             ","dnoshay@actown.com                           ","","",""
"","","P.O. Box 248                                 ","                                             ","Ph : (815) 675-6641                          ","","",""
"","","Spring Grove, IL 60081                       ","                                             ","Fax: (815) 675-2050                          ","","",""
"","500720","Actron Inc.                                  ","SAME                                         ","                                             ","NET 30 DAYS","",""
"","","1351 Jarvis ave.                             ","                                             ","                                             ","","",""
"","","Elk Grove Village, IL 60007                  ","                                             ","                                             ","","",""
"","500740","Ad Craft Sign Co                             ","SAME                                         ","Ph : 800-467-0651                            ","NET 30 DAYS","1737","Ck #500740"
"","","5601 Old Boonville Hwy                       ","                                             ","Fax: 812-479-6128                            ","","9/14/07","10/12/07"
"","","Evansville, IN 47715                         ","                                             ","                                             ","","","1,495.00"
"","500760","AD Display Signs                             ","SAME                                         ","Ph : 281-392-2828                            ","NET 30 DAYS","",""
"","","27255 Katy Freeway                           ","                                             ","                                             ","","",""
"","","Katy, TX 77494                               ","                                             ","                                             ","","",""
"","500780","Adam Wilson                                  ","SAME                                         ","                                             ","NET 30 DAYS","",""
"","","4518 SE 6th                                  ","                                             ","                                             ","","",""
"","","Des Moines, IA 50315                         ","                                             ","                                             ","","",""
"","500800","Adaptive Micro Systems LLC                   ","SAME                                         ","kurt.dykstra@adaptivedisplays.com            ","NET 30 DAYS","8150","Ck #500800"
"","","7840 North 86th Street                       ","                                             ","Ph : 414-357-2020                            ","","1/17/17","12/3/12"
"","","Milwaukee, IA 53224-3418                     ","                                             ","Fax: 414-357-2029                            ","","","1,513.46"
"","500820","AD-A-Sign                                    ","SAME                                         ","                                             ","NET 30 DAYS","",""
"","","2383 Niagara Falls Blvd                      ","                                             ","                                             ","","",""
"","","Niagara Falls, NY 14304                      ","                                             ","                                             ","","",""
"","500840","Ad-Lite Signs                                ","SAME                                         ","Melvin Shelton                               ","NET 30 DAYS","",""
"","","1200 East Third Street                       ","                                             ","ad-lite@freewwweb.com                        ","","",""
"","","Austin, TX 78702                             ","                                             ","Ph : (512) 476-6606                          ","","",""
"","","                                             ","                                             ","Fax: (512) 476-2229                          ","","",""
"","500860","Admiral Plastics                             ","SAME                                         ","Ph : 573-334-3051                            ","NET 30 DAYS","18058","Ck #500860"
"","","4857 County Road 218                         ","                                             ","Fax: 573-334-9578                            ","","11/4/19","11/13/19"
"","","PO Box 999                                   ","                                             ","                                             ","","","1,014.64"
"","","Cape Girardeau, MO 63702-0999                ","                                             ","                                             ","","",""
"","500880","ADT SECURITY SERVICES                        ","JOHNSTON CONTROLS SECURITY SOLUTIONS         ","                                             ","NET 30 DAYS","13697","Ck #500880"
"","","PO BOX 371956                                ","PO BOX 371967                                ","                                             ","","6/27/16","7/16/25"
"","","PITTSBURGH, PA 15250                         ","PITTSBURG, PA 15250-7967                     ","                                             ","","","42.80"
"","500900","ADVANCE SIGNS & AWNINGS                      ","SAME                                         ","Ph : (412) 481-6990                          ","NET 30 DAYS","",""
"","","1010 SAW MILL RUN BLVD                       ","                                             ","Fax: (412) 481-7020                          ","","",""
"","","PITTSBURGH, PA 15226                         ","                                             ","                                             ","","",""
"","500920","Advantage Sign Co                            ","SAME                                         ","Ph : 423-787-9727                            ","NET 30 DAYS","",""
"","","415 Banks ST                                 ","                                             ","                                             ","","",""
"","","Greenville, TN 37745                         ","                                             ","                                             ","","",""
"","500940","ADVENTURE LIGHTING                           ","SAME                                         ","TONY WHITE: 515 314 5013 CELL                ","NET 30 DAYS","24319","Ck #500940"
"","","90 WASHINGTON AVE                            ","                                             ","twhite@adventurelighting.com                 ","","10/17/24","10/23/24"
"","","DES MOINES, IA 50314-3648                    ","                                             ","Ph : 515-288-0444                            ","","","26.52"
"","","                                             ","                                             ","Fax: 515-288-1934                            ","","",""
"","500960","Advertising Art Sign Co                      ","SAME                                         ","Ken Kavangh                                  ","NET 30 DAYS","",""
"","","915 Sixth Ave                                ","                                             ","Ph : (304) 525-6188                          ","","",""
"","","Huntington, WV 25701                         ","                                             ","Fax: (304) 697-5258                          ","","",""
"","500980","AEC Enterprises Inc.                         ","SAME                                         ","Ph : 641-396-2716                            ","NET 30 DAYS","",""
"","","114 East Main                                ","                                             ","Fax: 641-765-4619                            ","","",""
"","","St. Charles, IA 50240                        ","                                             ","                                             ","","",""
"","501000","AFLAC                                        ","SAME                                         ","                                             ","NET 30 DAYS","","Ck #501000"
"","","PO BOX 5626                                  ","                                             ","                                             ","","","6/17/25"
"","","CHICAGO, IL 60680-5600                       ","                                             ","                                             ","","","14.40"
"","501020","Agnoli Sign Company                          ","SAME                                         ","Donald Agnoli                                ","NET 30 DAYS","",""
"","","722 Worthington Street                       ","                                             ","agnoli@map.com                               ","","",""
"","","Springfield, MA 01105                        ","                                             ","Ph : (413) 732-5111                          ","","",""
"","","                                             ","                                             ","Fax: (413) 787-2169                          ","","",""
"","501040","AI INNOVATIONS                               ","SAME                                         ","sam.knoop@aiinnovations.com                  ","NET 30 DAYS","21106","Ck #501040"
"","","7795 N 200W                                  ","                                             ","Ph : 877-352-8014                            ","","6/28/22","4/28/21"
"","","MCCORDSVILLE, IN 46055                       ","                                             ","Fax: 877-308-8720                            ","","","2,325.00"
"","501060","Air Filter Sales & Service                   ","SAME                                         ","Troy Miller                                  ","NET 30 DAYS","6220","Ck #501060"
"","","108 SE 4th St.                               ","                                             ","tmafssdm@aol.com                             ","","5/31/11","6/7/11"
"","","Des Moines, IA 50309                         ","                                             ","Ph : 284-5151                                ","","","135.68"
"","","                                             ","                                             ","Fax: 243-6033                                ","","",""
"","501080","Air-Con Mechanical Corporation               ","SAME                                         ","Ph : 515-243-5500                            ","NET 30 DAYS","",""
"","","3121 SE 14th St.                             ","                                             ","Fax: 515-243-0126                            ","","",""
"","","Des Moines, IA 50320-1317                    ","                                             ","                                             ","","",""
"","501100","Air-Mach Inc.                                ","SAME                                         ","Ph : 515-263-8880                            ","NET 30 DAYS","11659","Ck #501100"
"","","2345 Delaware Ave                            ","                                             ","Fax: 515-263-9522                            ","","3/2/15","4/13/15"
"","","Des Moines, IA 50317                         ","                                             ","                                             ","","","2,414.60"
"","501120","AIRPORT VIEW SIGN                            ","SAME                                         ","JASON RICKETTS                               ","NET 30 DAYS","",""
"","","530 MONOCACY BLVD                            ","                                             ","                                             ","","",""
"","","Fredrick, MD 21701                           ","                                             ","                                             ","","",""
"","501140","Akzo Nobel                                   ","SAME                                         ","Henry van de Werken                          ","NET 30 DAYS","",""
"","","931 N. DuPage Ave.                           ","                                             ","henry.vandewerken@akzonobel.com              ","","",""
"","","Lombard, IL 60148                            ","                                             ","Ph : 630-792-1600                            ","","",""
"","","                                             ","                                             ","Fax: 630-839-8010                            ","","",""
"","501160","Alcoa Fastening Systems                      ","SAME                                         ","Ph : 781-344-4464                            ","NET 30 DAYS","",""
"","","44 Campanelli Parkway                        ","                                             ","Fax: 781-302-3871                            ","","",""
"","","Stoughton, MA 02072                          ","                                             ","                                             ","","",""
"","501180","All About Neon Inc.                          ","SAME                                         ","Brent Peterson                               ","NET 30 DAYS","",""
"","","2504 S. 32nd Ave.                            ","                                             ","brent@allaboutneon.com                       ","","",""
"","","Omaha, NE 68105                              ","                                             ","Ph : (402) 346-6341                          ","","",""
"","","                                             ","                                             ","Fax: (402) 346-6341                          ","","",""
"","501200","All About Signs Inc.                         ","SAME                                         ","Ph : 863-385-0374                            ","NET 30 DAYS","",""
"","","427 N. Pine Street                           ","                                             ","Fax: 863-385-0374                            ","","",""
"","","Sebring, FL 33870                            ","                                             ","                                             ","","",""
"","501220","All Area Brokers                             ","SAME                                         ","Ph : (712) 239-2030                          ","NET 30 DAYS","",""
"","","PO Box 3377                                  ","                                             ","                                             ","","",""
"","","Sioux City, IA 51102                         ","                                             ","                                             ","","",""
"","501240","All Brite Sign Co                            ","SAME                                         ","Rusty Touchberry                             ","NET 30 DAYS","",""
"","","2117 Jody Rd                                 ","                                             ","allbritesignco@aol.com                       ","","9/22/14",""
"","","Florence, SC 29501                           ","                                             ","Ph : (843) 669-7982                          ","","",""
"","","                                             ","                                             ","Fax: (843) 678-9197                          ","","",""
"","501260","All Signs                                    ","SAME                                         ","Renee' Hardy                                 ","NET 30 DAYS","",""
"","","3565 Montgomery Hwy Suite 1                  ","                                             ","asfarenee@graceba.net                        ","","",""
"","","Dothan, PA 36305                             ","                                             ","Ph : (334) 794-8434 Renee                    ","","",""
"","","                                             ","                                             ","Fax: (334) 792-7061                          ","","",""
"","501280","Alladdin Signs                               ","SAME                                         ","Dan Holladay                                 ","NET 30 DAYS","",""
"","","218 Charles Streets                          ","                                             ","Ph : (304) 527-2416                          ","","",""
"","","Wellsburg, WV 27997                          ","                                             ","Fax: (304) 737-1852                          ","","",""
"","501300","ALL-BRITE SIGN CO. INC.                      ","SAME                                         ","P LANGLEY                                    ","NET 30 DAYS","11007","Ck #501300"
"","","PO BOX 263                                   ","                                             ","plangley@lcimaging.com                       ","","9/22/14","10/2/14"
"","","908 WHITE OAK ROAD                           ","                                             ","Ph : (309) 829-1551                          ","","","420.00"
"","","BLOOMINGTON, IL 61701                        ","                                             ","Fax: (309) 828-2225                          ","","",""
"","501320","Allegra Print & Imaging                      ","SAME                                         ","Ph : 515-244-1414                            ","NET 30 DAYS","",""
"","","1000 Thomas Beck Rd.                         ","                                             ","Fax: 515-244-4275                            ","","",""
"","","Des Moines, IA 50315                         ","                                             ","                                             ","","",""
"","501340","Allen Industries                             ","SAME                                         ","David Allen                                  ","NET 30 DAYS","6394","Ck #501340"
"","","11351 49th Street North                      ","                                             ","david.allen@allenindustries.com              ","","7/18/11","10/25/11"
"","","Clearwater, FL 33762                         ","                                             ","Ph : (727) 572-3076                          ","","","3,460.24"
"","","                                             ","                                             ","Fax: (727) 572-4815                          ","","",""
"","501360","ALLEN INDUSTRIES                             ","SAME                                         ","JIM ANDERSON                                 ","NET 30 DAYS","20068","Ck #22085"
"","","4100 SHERATON COURT                          ","                                             ","jim.anderson@allenindustries.com             ","","8/4/21","8/4/21"
"","","GREENSBORO, NC 27410                         ","                                             ","Ph : 888 294 2007 EXT 3182                   ","","","970.00"
"","","                                             ","                                             ","Fax: 336 294 4333                            ","","",""
"","501380","Alliant Energy                               ","SAME                                         ","Ph : 1-800-822-4348                          ","NET 30 DAYS","",""
"","","PO Box 77004                                 ","                                             ","Fax: 641-782-2063                            ","","",""
"","","Madison, WI 53707                            ","                                             ","                                             ","","",""
"","501400","ALLIED AWNING AND SIGN                       ","SAME                                         ","DAVID                                        ","NET 30 DAYS","",""
"","","1920 SOUTH 900 WEST                          ","                                             ","David@alliedawning.com                       ","","",""
"","","SALT LAKE, UT 84104                          ","                                             ","Ph : (800) 692-6837                          ","","",""
"","","                                             ","                                             ","Fax: (801) 972-5670                          ","","",""
"","501420","ALLIED SIGN CO.                              ","SAME                                         ","KEN COLTON                                   ","NET 30 DAYS","",""
"","","720 ERIE BLVD WEST                           ","                                             ","Kcolton@cnymail.com                          ","","",""
"","","SYRACUSE, NY 13204                           ","                                             ","Ph : (315) 471-2771                          ","","",""
"","","                                             ","                                             ","Fax: (315) 476-3756                          ","","",""
"","501440","Alpha Neon Sign & lighting                   ","SAME                                         ","Howard Gleason                               ","NET 30 DAYS","",""
"","","11607 West Dearbourn Avenue                  ","                                             ","Ph : (414) 431-6688                          ","","",""
"","","Wauwatosa, WI 53226                          ","                                             ","Fax: (414) 431-4949                          ","","",""
"","501460","Altoona Neon & Sign Service                  ","SAME                                         ","Marlena Machanick                            ","NET 30 DAYS","",""
"","","809 S. 10th St                               ","                                             ","Ph : (814) 942-7488                          ","","",""
"","","Altoona, PA 16602                            ","                                             ","Fax: (814) 944-2198                          ","","",""
"","501480","Alvey's Sign                                 ","SAME                                         ","Ph : 812-867-2567                            ","NET 30 DAYS","",""
"","","13100 Hwy 57                                 ","                                             ","                                             ","","",""
"","","Evansville, IN 47702                         ","                                             ","                                             ","","",""
"","501500","A-MAX SIGN COMPANY                           ","SAME                                         ","BRIAN WARD                                   ","NET 30 DAYS","9973","Ck #501500"
"","","9520 EAST 55TH PLACE SOUTH                   ","                                             ","Brian@amaxsign.com                           ","","1/29/14","2/24/14"
"","","TULSA, OK 74145                              ","                                             ","Ph : (918) 622-0651                          ","","","427.50"
"","","                                             ","                                             ","Fax: (918) 622-0659                          ","","",""
"","501520","American Agency Insurance Serv               ","SAME                                         ","Ph : 609-665-1568                            ","NET 30 DAYS","",""
"","","2643 Haddonfield Road                        ","                                             ","                                             ","","",""
"","","Pennsuaken, NJ 08110                         ","                                             ","                                             ","","",""
"","501540","American Institute of Architec               ","SAME                                         ","Ph : 515-244-7502                            ","NET 30 DAYS","",""
"","","1000 Walnut Street                           ","                                             ","                                             ","","",""
"","","Des Moines, IA 50309                         ","                                             ","                                             ","","",""
"","501560","AMERICAN LIFT & SIGN SERVICE                 ","SAME                                         ","MIKE GARNER                                  ","NET 30 DAYS","20478","Ck #501560"
"","","6958 N. 97TH CIRCLE                          ","                                             ","mike@emelift.com                             ","","12/10/21","12/29/21"
"","","OMAHA, NE 68134                              ","                                             ","Ph : (402) 572-1044                          ","","","165.00"
"","","                                             ","                                             ","Fax: (402) 572-7044                          ","","",""
"","501580","AMERICAN MARKING                             ","SAME                                         ","DENNY SCOTT                                  ","NET 30 DAYS","24944","Ck #501580"
"","","846 5TH AVENUE                               ","                                             ","Ph : 515-282-0495                            ","","4/14/25","5/1/25"
"","","DES MOINES, IA 50309                         ","                                             ","Fax: 515-282-6203                            ","","","470.00"
"","501600","American National Insurance Co               ","SAME                                         ","Ph : (409) 763-4661                          ","NET 30 DAYS","",""
"","","1 Moody Plaza                                ","                                             ","Fax: (409) 766-6663                          ","","",""
"","","Galveston, TX 77550-7999                     ","                                             ","                                             ","","",""
"","501620","American Sign Products Inc.                  ","SAME                                         ","Ph : (800) 223-5995                          ","NET 30 DAYS","",""
"","","384 E. Highland Road                         ","                                             ","Fax: 330-467-3944                            ","","",""
"","","Macedonia, OH 44056                          ","                                             ","                                             ","","",""
"","501640","American Signage                             ","SAME                                         ","Ph : 800-442-7541                            ","NET 30 DAYS","",""
"","","1847 W. Martintown Rd.                       ","                                             ","Fax: 803-279-5637                            ","","",""
"","","North Augusta, SC 29860                      ","                                             ","                                             ","","",""
"","501660","American Signs                               ","SAME                                         ","Ph : 972-542-6002                            ","NET 30 DAYS","",""
"","","3943 E University Drive                      ","                                             ","                                             ","","",""
"","","McKinney, TX 75069                           ","                                             ","                                             ","","",""
"","501680","American Society of Profession               ","SAME                                         ","Ph : 615-316-9200                            ","NET 30 DAYS","","Ck #501680"
"","","2525 Perimeter Place Drive Sui               ","                                             ","Fax: 615-316-9800                            ","","","9/10/07"
"","","Nashville, TN 37214                          ","                                             ","                                             ","","","100.00"
"","501700","Ameritec                                     ","SAME                                         ","Ph : 244-6248                                ","NET 30 DAYS","5554","Ck #501700"
"","","5180 NW 2nd Ave.                             ","                                             ","Fax: 244-3388                                ","","12/6/10","1/11/11"
"","","Des Moines, IA 50313                         ","                                             ","                                             ","","","21.00"
"","501720","Ameritech                                    ","SAME                                         ","                                             ","NET 30 DAYS","",""
"","","Bill Payment Center                          ","                                             ","                                             ","","",""
"","","Saginaw, MI 48663-0003                       ","                                             ","                                             ","","",""
"","501740","Amor Sign Studios Inc.                       ","SAME                                         ","Thomas Amor                                  ","NET 30 DAYS","",""
"","","P.O. Box433                                  ","                                             ","imagepro@t-one.net                           ","","",""
"","","Manistee, MI 49660                           ","                                             ","Ph : (616) 723-8361                          ","","",""
"","","                                             ","                                             ","Fax: (616) 723-9365                          ","","",""
"","501760","AMTECH LIGHTING SERVICES                     ","AMTECH LIGHTING SERVICES                     ","DUANE DOWNEY                                 ","NET 30 DAYS","2253","Ck #501760"
"","","6077 LAKE ELMO AVE. NORTH                    ","FILE NO. 53124                               ","ddowney@abm.com                              ","","2/6/08","3/10/08"
"","","STILLWATER, MN 55082                         ","LOS ANGELES, CA 90074-3124                   ","Ph : 651-439-7440                            ","","","2,460.00"
"","","                                             ","                                             ","Fax: 651-439-7521                            ","","",""
"","501780","Andersen Sign Co.                            ","SAME                                         ","Rick Andersen                                ","NET 30 DAYS","",""
"","","116 East ""J"" St.                             ","                                             ","Ph : (308) 284-3175                          ","","",""
"","","Ogallalla, NE 69124                          ","                                             ","Fax: (308) 284-2956                          ","","",""
"","501800","ANDREW BOTTORFF                              ","SAME                                         ","                                             ","NET 30 DAYS","",""
"","","310 E. BOSTON                                ","                                             ","                                             ","","",""
"","","INDIANOLA, IA 50125                          ","                                             ","                                             ","","",""
"","501820","ANNETT HOLDINGS - TMC                        ","TMC TRANSPORTATION                           ","karen.fitzsimons@tmctrans.com                ","NET 30 DAYS","16784","Ck #501820"
"","","4335 PAYSPHERE CIRCLE                        ","PO BOX 83027                                 ","Ph : 287-6380                                ","","9/19/18","9/25/18"
"","","CHICAGO, IL 60674                            ","CHICAGO, IL 60691-3010                       ","                                             ","","","2,140.38"
"","501840","ANS SIGNS INC.                               ","SAME                                         ","RYAN                                         ","NET 30 DAYS","",""
"","","700 WEST NINTH ST                            ","                                             ","Ryan@anssign.com                             ","","",""
"","","ADEL, GA 31620                               ","                                             ","Ph : 229-896-4500                            ","","",""
"","","                                             ","                                             ","Fax: (912) 896-3153                          ","","",""
"","501860","Apple Computer Inc.                          ","SAME                                         ","Ph : (408) 996-1010                          ","NET 30 DAYS","",""
"","","1 Infinite Loop Mail Stop 35-S               ","                                             ","Fax: (408) 974-2113                          ","","",""
"","","Cupertine, CA 95014                          ","                                             ","                                             ","","",""
"","501880","Archer Sign Corporation                      ","SAME                                         ","Ph : 330-455-9995                            ","NET 30 DAYS","",""
"","","1917 Henry Ave SW                            ","                                             ","Fax: 330-455-9994                            ","","",""
"","","Canton, OH 44706                             ","                                             ","                                             ","","",""
"","501900","Arizona Development Affiliates               ","SAME                                         ","Ph : (602) 549-8791                          ","NET 30 DAYS","",""
